fips,state,year,pop,clf,pc_clf,emp,pc_emp,unem,unem_rate
12,Florida,2021,17776346,10353311,58.2,9872517,55.5,480794,4.6
13,Georgia,2021,8397878,5179121,61.7,4977562,59.3,201559,3.9
15,Hawaii,2021,1124810,669987,59.6,629626,56.0,40361,6.0
16,Idaho,2021,1470529,925409,62.9,893169,60.7,32240,3.5
17,Illinois,2021,10082638,6366428,63.1,5980444,59.3,385984,6.1
18,Indiana,2021,5331345,3355642,62.9,3225060,60.5,130582,3.9
19,Iowa,2021,2510670,1690368,67.3,1626168,64.8,64200,3.8
20,Kansas,2021,2261148,1500677,66.4,1451204,64.2,49473,3.3
21,Kentucky,2021,3534295,2027165,57.4,1937537,54.8,89628,4.4
22,Louisiana,2021,3580022,2073572,57.9,1958087,54.7,115485,5.6
23,Maine,2021,1141890,685168,60.0,653341,57.2,31827,4.6
24,Maryland,2021,4884468,3173289,65.0,3005067,61.5,168222,5.3
25,Massachusetts,2021,5745468,3742987,65.1,3535696,61.5,207291,5.5
26,Michigan,2021,8066407,4779555,59.3,4501562,55.8,277993,5.8
27,Minnesota,2021,4503833,3039323,67.5,2924148,64.9,115175,3.8
28,Mississippi,2021,2280572,1255710,55.1,1187096,52.1,68614,5.5
29,Missouri,2021,4862659,3050028,62.7,2925218,60.2,124810,4.1
30,Montana,2021,883626,550555,62.3,531926,60.2,18629,3.4
31,Nebraska,2021,1511554,1049584,69.4,1021330,67.6,28254,2.7
32,Nevada,2021,2497185,1499499,60.0,1395651,55.9,103848,6.9
33,New Hampshire,2021,1150014,756858,65.8,731117,63.6,25741,3.4
34,New Jersey,2021,7411284,4666108,63.0,4357217,58.8,308891,6.6
35,New Mexico,2021,1670868,943382,56.5,876730,52.5,66652,7.1
36,New York,2021,16078040,9557912,59.4,8886155,55.3,671757,7.0
37,North Carolina,2021,8339111,4954783,59.4,4712866,56.5,241917,4.9
38,North Dakota,2021,596255,408900,68.6,396364,66.5,12536,3.1
39,Ohio,2021,9332099,5728769,61.4,5434815,58.2,293954,5.1
40,Oklahoma,2021,3064929,1860337,60.7,1785703,58.3,74634,4.0
41,Oregon,2021,3463707,2147611,62.0,2035428,58.8,112183,5.2
42,Pennsylvania,2021,10496024,6445362,61.4,6058976,57.7,386386,6.0
44,Rhode Island,2021,899521,571698,63.6,540182,60.1,31516,5.5
45,South Carolina,2021,4124126,2353968,57.1,2261060,54.8,92908,3.9
46,South Dakota,2021,683982,469583,68.7,457174,66.8,12409,2.6
47,Tennessee,2021,5523362,3323545,60.2,3174135,57.5,149410,4.5
48,Texas,2021,22534721,14311029,63.5,13503671,59.9,807358,5.6
49,Utah,2021,2486143,1687539,67.9,1641338,66.0,46201,2.7
50,Vermont,2021,539890,335823,62.2,323354,59.9,12469,3.7
51,Virginia,2021,6803773,4331297,63.7,4162555,61.2,168742,3.9
53,Washington,2021,6164797,3898707,63.2,3695705,59.9,203002,5.2
54,West Virginia,2021,1442066,778747,54.0,739003,51.2,39744,5.1
55,Wisconsin,2021,4716770,3099768,65.7,2981070,63.2,118698,3.8
56,Wyoming,2021,454147,289154,63.7,275748,60.7,13406,4.6
1,Alabama,2022,4013691,2286028,57.0,2226670,55.5,59358,2.6
2,Alaska,2022,546834,356799,65.2,342400,62.6,14399,4.0
4,Arizona,2022,5859772,3615161,61.7,3477033,59.3,138128,3.8
5,Arkansas,2022,2379534,1369367,57.5,1323949,55.6,45418,3.3
6,California,2022,31093752,19251974,61.9,18440895,59.3,811079,4.2
8,Colorado,2022,4680613,3200625,68.4,3103531,66.3,97094,3.0
9,Connecticut,2022,2947130,1932463,65.6,1851993,62.8,80470,4.2
10,Delaware,2022,821383,496688,60.5,474258,57.7,22430,4.5
11,District of Columbia,2022,549685,388403,70.7,370229,67.4,18174,4.7
12,Florida,2022,18134062,10762307,59.3,10449041,57.6,313266,2.9
13,Georgia,2022,8513926,5234275,61.5,5075093,59.6,159182,3.0
15,Hawaii,2022,1123667,676299,60.2,652677,58.1,23622,3.5
16,Idaho,2022,1506615,950672,63.1,925358,61.4,25314,2.7
17,Illinois,2022,10035838,6472663,64.5,6176876,61.5,295787,4.6
18,Indiana,2022,5357736,3404443,63.5,3302632,61.6,101811,3.0
19,Iowa,2022,2519424,1716894,68.1,1669933,66.3,46961,2.7
20,Kansas,2022,2267589,1504932,66.4,1464834,64.6,40098,2.7
21,Kentucky,2022,3541106,2048066,57.8,1968121,55.6,79945,3.9
22,Louisiana,2022,3560268,2088217,58.7,2011867,56.5,76350,3.7
23,Maine,2022,1152551,674875,58.6,654965,56.8,19910,3.0
24,Maryland,2022,4887139,3171513,64.9,3068700,62.8,102813,3.2
25,Massachusetts,2022,5750958,3743924,65.1,3603172,62.7,140752,3.8
26,Michigan,2022,8079178,4835966,59.9,4632539,57.3,203427,4.2
27,Minnesota,2022,4519077,3077500,68.1,2994920,66.3,82580,2.7
28,Mississippi,2022,2279804,1251022,54.9,1201880,52.7,49142,3.9
29,Missouri,2022,4882274,3061279,62.7,2984340,61.1,76939,2.5
30,Montana,2022,900481,567787,63.1,552842,61.4,14945,2.6
31,Nebraska,2022,1519307,1058927,69.7,1034091,68.1,24836,2.3
32,Nevada,2022,2532731,1549859,61.2,1466213,57.9,83646,5.4
33,New Hampshire,2022,1159452,766672,66.1,747339,64.5,19333,2.5
34,New Jersey,2022,7420969,4739804,63.9,4564113,61.5,175691,3.7
35,New Mexico,2022,1676424,947025,56.5,908870,54.2,38155,4.0
36,New York,2022,15967990,9616989,60.2,9205821,57.7,411168,4.3
37,North Carolina,2022,8467545,5159329,60.9,4970998,58.7,188331,3.7
